"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2016";80,6;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2017";74,0;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2018";70,4;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2019";59,5;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2020";62,8;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2021";94,8;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2022";99,0;"%";"";
0200000;"DOLNOŚLĄSKIE";"stosunek produkcji energii elektrycznej do zużycia energii elektrycznej";"2023";;"%";"n";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2000";2641,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";2727,1;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";2903,0;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";2874,7;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";2997,2;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";2989,4;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";2802,1;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";2907,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";2639,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";2951,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";3554,5;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";3411,3;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";3177,6;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";3403,5;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";3360,6;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";3731,7;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";5261,5;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";7203,0;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";6798,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";7739,8;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";8134,1;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";8147,3;"GWh";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";7168,4;"GWh";"";
